Question,Class
DET VERB NOUN ADP DET NOUN NOUN ADP DET NOUN ADP PROPN CCONJ NOUN ADP DET PROPN AUX VERB NOUN DET,DIFFICULT
NOUN AUX ADJ ADP DET NOUN NOUN SCONJ PRON,DIFFICULT
DET NOUN ADP DET PROPN NOUN NOUN ADJ NOUN VERB DET NOUN PART,EASY
DET NOUN VERB ADJ NOUN PART ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADP DET ADJ NOUN AUX ADV VERB ADP,EASY
PRON AUX DET NOUN ADP NOUN NOUN ADV ADP DET ADJ NOUN,EASY
PRON AUX ADJ ADJ NOUN ADP NOUN NOUN ADP PROPN DET ADP DET NOUN AUX DET VERB NOUN AUX ADP ADJ,EASY
DET NOUN ADJ VERB DET NOUN ADP AUX VERB ADP NOUN,EASY
ADV DET ADJ NOUN VERB ADP DET ADJ NOUN AUX VERB DET NOUN ADP NOUN AUX DET,EASY
DET NOUN NOUN VERB NOUN NOUN ADP NOUN ADV ADP,EASY
PROPN VERB DET NOUN CCONJ VERB PART VERB WHAT NOUN PRON AUX DET NOUN ADP NOUN ADP DET NOUN VERB ADV VERB PRON PART VERB PRON,EASY
PRON AUX DET NOUN ADP NOUN ADP DET ADJ NOUN,DIFFICULT
DET NOUN ADP NOUN VERB VERB ADJ NOUN NOUN SCONJ PRON AUX VERB ADV,EASY
ADJ NOUN AUX NOUN ADP DET PROPN NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN DET PROPN AUX ADJ ADP NOUN NOUN ADP DET NOUN,EASY
DET NOUN NOUN AUX ADJ ADP VERB ADP NOUN ADP NOUN SCONJ PRON VERB,EASY
NOUN AUX VERB WHEN NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN DET NOUN VERB,EASY
DET NOUN VERB VERB NOUN NOUN NOUN CCONJ AUX VERB ADP DET NOUN,EASY
DET ADP DET NOUN DET PROPN NOUN ADP NOUN ADP DET NOUN,EASY
DET NOUN ADP NOUN ADP DET NOUN AUX VERB SCONJ PRON VERB ADP DET NOUN ADP PROPN DET VERB DET NOUN ADP,DIFFICULT
NOUN AUX VERB DET NOUN NOUN ADP DET NOUN DET AUX NOUN ADP DET ADJ NOUN NOUN DET NOUN VERB VERB WHEN VERB DET NOUN ADP DET NOUN,DIFFICULT
DET NOUN AUX VERB ADP DET NOUN NOUN CCONJ VERB ADP DET NOUN SCONJ DET NOUN AUX ADJ DET NOUN VERB,DIFFICULT
DET NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN ADV ADV AUX WHICH NOUN,DIFFICULT
DET NOUN NOUN AUX ADV NUM NOUN ADJ WHEN PRON AUX SCONJ DET NOUN PRON VERB ADP ADV NUM NOUN ADJ ADP ADJ NOUN DET VERB ADV ADV VERB DET NOUN VERB ADJ ADP ADJ NOUN,DIFFICULT
DET ADP DET NOUN ADP ADJ AUX DET ADJ NOUN ADP DET NOUN ADP PROPN,EASY
DET NOUN VERB ADV VERB ADP ADJ NOUN AUX VERB ADP DET NOUN,EASY
ADJ NOUN AUX VERB ADP SCONJ DET NOUN ADP DET NOUN SCONJ,DIFFICULT
DET ADP DET VERB AUX VERB ADP NOUN NOUN ADP NOUN PART VERB,EASY
PROPN VERB DET NOUN DET PROPN NOUN ADP DET NOUN ADP PRON VERB PRON VERB DET NOUN PART VERB SCONJ DET NOUN AUX ADP NOUN DET AUX ADV ADJ ADP DET NOUN ADP ADJ NOUN ADP DET NOUN,EASY
PROPN AUX DET ADJ NOUN CCONJ NOUN ADP VERB PROPN PROPN AUX DET NOUN ADP,EASY
