text,label
WHICH ADP DET VERB NOUN ADV VERB WHY NOUN ADV VERB ADP DET NOUN NOUN,DIFFICULT
WHICH NOUN ADJ VERB ADV PUNCT ADJ CCONJ,DIFFICULT
ADP PROPN NOUN VERB AUX DET ADJ DET NOUN CCONJ DET NOUN WHICH NOUN NOUN AUX DET ADJ NOUN ADP DET NOUN ADP NOUN ADP NOUN,EASY
DET NOUN VERB DET ADJ NOUN ADP NOUN SCONJ DET ADJ NOUN WHICH NOUN VERB HOW DET NOUN ADV ADV VERB VERB DET ADJ NOUN,DIFFICULT
NUM NOUN SCONJ PRON AUX VERB ADJ PROPN VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN ADV VERB ADP DET NOUN PART NOUN ADP DET WHICH DET VERB DET,DIFFICULT
DET ADJ ADJ NOUN SCONJ DET NOUN ADP NOUN AUX DET ADJ NOUN ADP NOUN SCONJ DET ADJ NOUN ADJ DET NOUN AUX ADV ADV VERB SCONJ DET ADJ NOUN,EASY
NUM NOUN AUX VERB PART VERB DET NOUN ADP DET ADJ NOUN PROPN VERB ADP ADJ NUM NOUN PART NOUN VERB DET NOUN ADP NOUN NOUN ADP NOUN NOUN SCONJ DET ADJ NOUN PART NOUN VERB DET NOUN SCONJ DET NOUN VERB SCONJ DET NOUN AUX,DIFFICULT
NOUN AUX ADV VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN VERB ADV AUX VERB ADP ADJ ADJ NOUN WHICH ADP DET AUX ADV ADJ ADP VERB NOUN,EASY
WHICH ADJ NOUN VERB ADV AUX DET ADJ NOUN,EASY
DET NOUN VERB DET NOUN PRON VERB ADJ PART VERB ADP NOUN ADP ADJ NOUN DET ADP DET NOUN AUX ADJ ADP NOUN CCONJ NOUN DET NOUN AUX VERB VERB ADJ NOUN ADP DET NOUN ADP NUM PROPN WHICH NOUN AUX DET NOUN ADV ADV VERB PART VERB,DIFFICULT
NOUN ADV ADV VERB DET NOUN ADP WHICH PRON AUX VERB ADP,EASY
ADP VERB NOUN ADJ NOUN AUX VERB PART VERB ADP ADJ NOUN WHICH ADP DET VERB ADV VERB DET ADJ NOUN VERB ADP VERB ADJ NOUN,DIFFICULT
VERB ADP DET NOUN ADP DET ADJ NOUN WHICH NOUN AUX NOUN NOUN ADV ADJ ADP DET ADP NOUN NOUN,EASY
WHICH VERB DET NOUN NOUN ADP VERB PART VERB DET NOUN ADP NOUN NOUN,DIFFICULT
WHICH NOUN ADV VERB DET NOUN NOUN ADP DET NOUN DET VERB DET NOUN NOUN ADP AUX DET NOUN,DIFFICULT
PROPN VERB PART VERB HOW ADV PRON VERB ADJ NOUN PRON VERB DET NOUN PART VERB DET NOUN PRON VERB PRON PART VERB DET NUM NUM CCONJ NUM NOUN HOW VERB PRON VERB DET NOUN ADP DET NOUN,DIFFICULT
ADP ADJ ADP DET NOUN DET NOUN ADP PROPN PROPN VERB DET ADJ NOUN ADP NOUN WHICH ADP DET VERB ADJ VERB WHY PRON AUX DET ADJ NOUN ADP NOUN ADP DET NOUN,DIFFICULT
DET NOUN AUX VERB NUM NOUN DET AUX DET ADJ NOUN ADP PROPN PROPN PROPN VERB ADJ SCONJ PROPN PROPN WHICH NOUN ADV VERB DET NOUN,DIFFICULT
NOUN AUX ADV AUX VERB ADP DET PROPN PROPN PART VERB NOUN ADP NOUN ADP NOUN NOUN HOW VERB DET NOUN ADP NOUN ADV VERB DET NOUN,DIFFICULT
DET NOUN NOUN NOUN NOUN CCONJ NOUN VERB ADV AUX ADV VERB SCONJ,DIFFICULT
WHICH NOUN ADP DET NOUN VERB AUX VERB ADV ADP VERB ADP PRON,EASY
