text,label
WHICH	of ADP	the DET	following VERB	statements NOUN	best ADV	explains VERB	WHY	magnets NOUN	usually ADV	stick VERB	to ADP	a DET	refrigerator NOUN	door NOUN,DIFFICULT
WHICH	statement NOUN	best ADJ	compares VERB	single-celled ADV	and PUNCT	multi-celled ADJ	organisms CCONJ,DIFFICULT
On ADP	Earth PROPN	water NOUN	can VERB	be AUX	a DET	solid ADJ	a DET	liquid NOUN	or CCONJ	a DET	gas NOUN	WHICH	energy NOUN	source NOUN	has AUX	the DET	greatest ADJ	influence NOUN	on ADP	the DET	state NOUN	of ADP	matter NOUN	of ADP	water NOUN,EASY
A DET	ship NOUN	leaks VERB	a DET	large ADJ	amount NOUN	of ADP	oil NOUN	near SCONJ	a DET	coastal ADJ	area NOUN	WHICH	statement NOUN	describes VERB	HOW	the DET	oil NOUN	most ADV	likely ADV	will VERB	affect VERB	the DET	coastal ADJ	habitat NOUN,DIFFICULT
One NUM	evening NOUN	as SCONJ	it PRON	is AUX	getting VERB	dark ADJ	Alex PROPN	sits VERB	on ADP	the DET	front ADJ	porch NOUN	and CCONJ	watches VERB	the DET	sun NOUN	slowly ADV	disappear VERB	behind ADP	the DET	neighbor's NOUN	house PART	across NOUN	the ADP	street DET	WHICH	explains DET	this VERB	observation DET,DIFFICULT
A DET	toothpaste ADJ	commercial ADJ	states NOUN	that SCONJ	a DET	brand NOUN	of ADP	toothpaste NOUN	has AUX	a DET	higher ADJ	concentration NOUN	of ADP	fluoride NOUN	than SCONJ	any DET	other ADJ	toothpaste NOUN	available ADJ	The DET	commercial NOUN	is AUX	most ADV	likely ADV	inferring VERB	that SCONJ	the DET	advertised ADJ	toothpaste NOUN,EASY
Two NUM	students NOUN	are AUX	asked VERB	to PART	make VERB	a DET	chart NOUN	on ADP	the DET	electromagnetic ADJ	spectrum NOUN	Reading PROPN	left VERB	to ADP	right ADJ	one NUM	student's NOUN	chart PART	shows NOUN	the VERB	spectrum DET	from NOUN	gamma ADP	rays NOUN	to NOUN	radio ADP	waves NOUN	while NOUN	the SCONJ	other DET	student's ADJ	chart NOUN	shows PART	the NOUN	opposite VERB	If DET	the NOUN	teacher SCONJ	says DET	that NOUN	both VERB	charts SCONJ	are DET	correct NOUN	then AUX,DIFFICULT
Stars NOUN	are AUX	often ADV	classified VERB	by ADP	their DET	apparent ADJ	brightness NOUN	in ADP	the DET	nighttime NOUN	sky NOUN	Stars NOUN	can VERB	also ADV	be AUX	classified VERB	in ADP	many ADJ	other ADJ	ways NOUN	WHICH	of ADP	these DET	is AUX	least ADV	useful ADJ	in ADP	classifying VERB	stars NOUN,EASY
WHICH	celestial ADJ	object NOUN	listed VERB	below ADV	has AUX	the DET	greatest ADJ	density NOUN,EASY
An DET	engineer NOUN	measured VERB	the DET	time NOUN	it PRON	takes VERB	sound ADJ	to PART	travel VERB	through ADP	samples NOUN	of ADP	different ADJ	materials NOUN	All DET	of ADP	the DET	samples NOUN	were AUX	identical ADJ	in ADP	shape NOUN	and CCONJ	size NOUN	The DET	measurements NOUN	were AUX	made VERB	using VERB	ultrasonic ADJ	waves NOUN	with ADP	a DET	frequency NOUN	of ADP	5 NUM	megahertz PROPN	WHICH	question NOUN	was AUX	the DET	engineer NOUN	most ADV	likely ADV	trying VERB	to PART	answer VERB,DIFFICULT
Trees NOUN	most ADV	likely ADV	change VERB	the DET	environment NOUN	in ADP	WHICH	they PRON	are AUX	located VERB	by ADP,EASY
