text,label
WHICH	of ADP	the DET	following VERB	statements NOUN	best ADV	explains VERB	WHY	magnets NOUN	usually ADV	stick VERB	to ADP	a DET	refrigerator NOUN	door NOUN,B2
WHICH	statement NOUN	best ADJ	compares VERB	single-celled ADV	and PUNCT	multi-celled ADJ	organisms CCONJ,B3
Stars NOUN	are AUX	often ADV	classified VERB	by ADP	their DET	apparent ADJ	brightness NOUN	in ADP	the DET	nighttime NOUN	sky NOUN	Stars NOUN	can VERB	also ADV	be AUX	classified VERB	in ADP	many ADJ	other ADJ	ways NOUN	WHICH	of ADP	these DET	is AUX	least ADV	useful ADJ	in ADP	classifying VERB	stars NOUN,A4
WHICH	celestial ADJ	object NOUN	listed VERB	below ADV	has AUX	the DET	greatest ADJ	density NOUN,A1
Trees NOUN	most ADV	likely ADV	change VERB	the DET	environment NOUN	in ADP	WHICH	they PRON	are AUX	located VERB	by ADP,B1
In ADP	living VERB	things NOUN	smaller ADJ	substances NOUN	are AUX	linked VERB	to PART	make VERB	up ADP	larger ADJ	substances NOUN	WHICH	of ADP	the DET	following VERB	correctly ADV	describes VERB	a DET	larger ADJ	substance NOUN	made VERB	by ADP	linking VERB	smaller ADJ	substances NOUN,C1
WHICH	term NOUN	best ADV	describes VERB	the DET	life NOUN	cycle NOUN	of ADP	an DET	insect NOUN	that DET	reaches VERB	the DET	adult NOUN	stage NOUN	without ADP	being AUX	a DET	pupa NOUN,C1
Corn NOUN	is AUX	widely ADV	being AUX	used VERB	in ADP	the DET	United PROPN	States PROPN	to PART	make VERB	ethanol NOUN	for ADP	use NOUN	in ADP	automobile NOUN	fuel NOUN	HOW	might VERB	the DET	overproduction NOUN	of ADP	corn NOUN	negatively ADV	affect VERB	the DET	environment NOUN,D3
WHICH	property NOUN	of ADP	a DET	mineral NOUN	can VERB	be AUX	determined VERB	just ADV	by ADP	looking VERB	at ADP	it PRON,A3
WHAT	do AUX	earthquakes NOUN	tell VERB	scientists NOUN	about ADP	the DET	history NOUN	of ADP	the DET	planet NOUN,C1
WHICH	statement NOUN	describes VERB	a DET	harmful ADJ	effect NOUN	of ADP	clearing VERB	rainforests NOUN	for ADP	farmland NOUN,C1
Students NOUN	studying VERB	membranes NOUN	conducted VERB	an DET	experiment NOUN	using VERB	labeled VERB	paper NOUN	cups NOUN	filled VERB	with ADP	varying VERB	concentrations NOUN	of ADP	red ADJ	food NOUN	coloring VERB	After ADP	the DET	experiment NOUN	the DET	cups NOUN	were AUX	empty ADJ	and CCONJ	stained VERB	WHAT	should VERB	be AUX	done VERB	with ADP	used VERB	cups NOUN,D3
Many ADJ	common ADJ	hand NOUN	tools NOUN	create VERB	a DET	mechanical ADJ	advantage NOUN	by ADP	using VERB	the DET	basic ADJ	principles NOUN	found VERB	in ADP	simple ADJ	machines NOUN	For ADP	example NOUN	a DET	screwdriver NOUN	uses VERB	the DET	principles NOUN	of ADP	the DET	wheel NOUN	and CCONJ	axle VERB	In ADP	order NOUN	to PART	increase VERB	gripping VERB	force NOUN	pliers NOUN	use VERB	the DET	principle NOUN	demonstrated VERB	in ADP	the DET,D3
The DET	following VERB	mathematical ADJ	expressions NOUN	represent VERB	four NUM	different ADJ	concentrations NOUN	of ADP	a DET	chemical NOUN	solution NOUN	to PART	be AUX	used VERB	in ADP	a DET	science NOUN	experiment NOUN	WHICH	one PRON	is AUX	equal ADJ	in ADP	magnitude NOUN	to ADP	1/1000 NUM,D3
WHY	are AUX	alternative ADJ	fuels NOUN	being AUX	used VERB	in ADP	some DET	automobiles NOUN,D3
Many ADJ	states NOUN	require VERB	vehicles NOUN	to PART	be AUX	examined VERB	and CCONJ	to PART	meet VERB	safety NOUN	and CCONJ	pollution NOUN	standards NOUN	WHAT	impact NOUN	might VERB	vehicle NOUN	inspections NOUN	have AUX	on ADP	the DET	environment NOUN,D4
Geologists NOUN	frequently ADV	use VERB	mass ADJ	spectrometers NOUN	in ADP	determining VERB	the DET	relative ADJ	age NOUN	of ADP	rocks NOUN	A DET	spectrometer NOUN	can VERB	differentiate VERB	between ADP	the DET	ratios NOUN	of ADP	isotopes NOUN	in ADP	rock NOUN	samples NOUN	and CCONJ	calculates VERB	the DET	radioactive ADJ	decay NOUN	involving VERB	WHAT	two NUM	isotopes NOUN,D3
WHICH	phrase NOUN	does AUX	not PART	describe VERB	asexual ADJ	reproduction NOUN	in ADP	organisms NOUN,C1
Members NOUN	of ADP	a DET	planning NOUN	team NOUN	build VERB	a DET	model NOUN	of ADP	a DET	nearby ADJ	stream NOUN	and CCONJ	then ADV	block VERB	the DET	stream NOUN	to PART	show VERB	HOW	it PRON	can VERB	form VERB	a DET	lake NOUN	WHICH	is AUX	a DET	limitation NOUN	of ADP	the DET	model NOUN,B3
WHICH	best ADJ	describes VERB	two NUM	organ NOUN	systems NOUN	working VERB	together ADV	to PART	help VERB	maintain VERB	homeostasis NOUN,C1
A DET	geologist NOUN	conducts VERB	an DET	investigation NOUN	to PART	determine VERB	the DET	absolute ADJ	age NOUN	of ADP	a DET	fossil NOUN	She PRON	then ADV	repeats VERB	the DET	procedure NOUN	three NUM	times NOUN	WHICH	best ADJ	explains VERB	WHY	she PRON	repeated VERB	the DET	procedure NOUN	several ADJ	times NOUN,A3
WHICH	question NOUN	can VERB	most ADV	likely ADV	be AUX	determined VERB	through ADP	a DET	scientific ADJ	investigation NOUN,A3
WHICH	best ADJ	determines VERB	the DET	health NOUN	of ADP	a DET	lake NOUN	used VERB	as SCONJ	a DET	source NOUN	of ADP	freshwater NOUN,A3
WHICH	of ADP	the DET	water NOUN	samples NOUN	described VERB	below ADV	has AUX	the DET	greatest ADJ	average ADJ	kinetic ADJ	energy NOUN	per ADP	molecule NOUN,C1
WHICH	material NOUN	should VERB	be AUX	used VERB	on ADP	a DET	bicycle NOUN	ramp NOUN	to PART	increase VERB	friction NOUN,D3
A DET	student NOUN	is AUX	asked VERB	to PART	make VERB	soil NOUN	using VERB	the DET	following VERB	substances: NOUN	water PUNCT	ore PROPN	humus PROPN	crystal PROPN	weathered PROPN	rock VERB	and NOUN	metamorphic CCONJ	rock NOUN	WHICH	combination DET	of NOUN	these ADP	substances DET	should NOUN	the VERB	student DET	choose NOUN,D3
The DET	visible ADJ	colors NOUN	listed VERB	from ADP	shortest ADJ	to ADP	longest ADJ	wavelength NOUN	are AUX	violet NOUN	blue PROPN	green PROPN	yellow ADJ	orange NOUN	and CCONJ	red ADJ	WHICH	of ADP	the DET	following VERB	accurately ADV	compares VERB	the DET	frequency NOUN	of ADP	these DET	colors NOUN	using VERB	this DET	information NOUN,A1
A DET	girl NOUN	walked VERB	for ADP	30 NUM	minutes NOUN	She PRON	noticed VERB	that SCONJ	she PRON	traveled VERB	farther ADV	in ADP	the DET	first ADJ	15 NUM	minutes NOUN	of ADP	her DET	walk NOUN	than SCONJ	in ADP	the DET	second ADJ	15 NUM	minutes NOUN	WHAT	can VERB	she PRON	conclude VERB	about ADP	her DET	walk NOUN,C5
WHICH	term NOUN	is AUX	used VERB	to PART	describe VERB	a DET	physical ADJ	property NOUN	of ADP	a DET	mineral NOUN,D3
Compared VERB	to ADP	the DET	Sun PROPN	a DET	red ADJ	star NOUN	most ADV	likely ADJ	has AUX	a DET	greater ADJ,B3
WHICH	is AUX	most ADV	likely ADV	needed VERB	WHEN	describing VERB	the DET	change NOUN	in ADP	position NOUN	of ADP	an DET	object NOUN,C1
Elisa PROPN	was AUX	classifying VERB	types NOUN	of ADP	energy NOUN	as SCONJ	either DET	potential NOUN	or CCONJ	kinetic PROPN	WHICH	is AUX	a DET	type NOUN	of ADP	potential ADJ	energy NOUN,A4
Cell NOUN	membranes NOUN	are AUX	described VERB	as SCONJ	selectively ADV	permeable ADJ	Four NUM	students NOUN	were AUX	asked VERB	to PART	explain VERB	WHAT	this DET	means VERB	and CCONJ	provided VERB	the DET	answers NOUN	given VERB	belowStudent ADJ	1: NUM	Cell PUNCT	membranes PROPN	prevent NOUN	all VERB	materials DET	from NOUN	entering ADP	the VERB	cellStudent DET	2: NOUN	Cell NUM	membranes PUNCT	only NOUN	provide NOUN	structural ADV	support VERB	for ADJ	the NOUN	cellStudent ADP	3: DET	Cell ADJ	membranes NUM	regulate PUNCT	WHICH	substances NOUN	can VERB	enter DET	and NOUN	exit VERB	the VERB	cellStudent CCONJ	4: VERB	Cell DET	membranes NOUN	allow NUM	water PUNCT	and NOUN	water-soluble NOUN	substances VERB	to NOUN	enter CCONJ	the NOUN	cellWhich PUNCT	student ADJ	correctly NOUN	identified PART	the VERB	function DET	of NOUN	the NOUN	selectively ADV	permeable VERB	membrane DET,C1
Sooj PROPN	learned VERB	that SCONJ	whales NOUN	use VERB	vocalization NOUN	to PART	navigate VERB	and CCONJ	to PART	communicate VERB	with ADP	other ADJ	whales NOUN	Some DET	scientists NOUN	think VERB	that SCONJ	noise NOUN	pollution NOUN	in ADP	whale ADJ	habitats NOUN	may VERB	harm VERB	whale ADJ	populations NOUN	WHAT	would VERB	be AUX	the DET	most ADV	likely ADJ	effect NOUN	of ADP	noise NOUN	pollution NOUN	on ADP	whales NOUN,D3
WHICH	of ADP	these DET	determines VERB	whether SCONJ	a DET	fertilized ADJ	egg NOUN	develops VERB	into ADP	a DET	toad NOUN	a DET	snake NOUN	or CCONJ	a DET	lizard NOUN,A3
The DET	Big PROPN	Bang PROPN	theory NOUN	states VERB	that SCONJ	the DET	universe NOUN,A3
Comparing VERB	the DET	skeletons NOUN	of ADP	WHICH	of ADP	the DET	following VERB	fish NOUN	would VERB	best ADV	show VERB	the DET	evolution NOUN	of ADP	a DET	fish NOUN	species NOUN,B3
WHICH	of ADP	these DET	best ADJ	describes VERB	HOW	the DET	surface NOUN	of ADP	a DET	beach NOUN	is AUX	formed VERB,C1
Corn NOUN	can VERB	be AUX	used VERB	to PART	make VERB	ethanol NOUN	WHICH	is AUX	a DET	fuel NOUN	for ADP	some DET	cars NOUN	WHAT	problem NOUN	could VERB	be AUX	caused VERB	by ADP	the DET	increased VERB	use NOUN	of ADP	ethanol NOUN,D3
WHY	can VERB	steam NOUN	be AUX	used VERB	to PART	cook VERB	food NOUN,D3
A DET	student NOUN	compared VERB	the DET	speeds NOUN	at ADP	WHICH	a DET	large ADJ	and CCONJ	a DET	small ADJ	marble NOUN	rolled VERB	down ADP	an DET	inclined VERB	plane NOUN	In ADP	order NOUN	to PART	make VERB	the DET	findings NOUN	more ADV	reliable ADJ	the DET	student NOUN	should VERB,B3
WHICH	diagram NOUN	best ADJ	shows VERB	HOW	energy NOUN	flows VERB	through ADP	a DET	simple ADJ	food NOUN	chain NOUN,B3
A DET	line NOUN	graph NOUN	is AUX	best ADV	used VERB	to ADP,D3
John PROPN	was AUX	using VERB	his DET	mp3 NOUN	player NOUN	WHEN	it PRON	suddenly ADV	stopped VERB	working VERB	WHAT	is AUX	the DET	first ADJ	thing NOUN	John PROPN	should VERB	do AUX	to PART	try VERB	correcting VERB	the DET	problem NOUN,D3
WHICH	unit NOUN	is AUX	used VERB	to PART	record VERB	distances NOUN	between ADP	stars NOUN,D3
WHICH	characteristic ADJ	of ADP	the DET	asthenosphere NOUN	helps VERB	explain VERB	the DET	evidence NOUN	of ADP	crustal-plate ADJ	motion PUNCT,B2
A DET	student NOUN	uses VERB	clay NOUN	to PART	build VERB	models NOUN	of ADP	an DET	ocean NOUN	plate NOUN	and CCONJ	a DET	continental ADJ	plate NOUN	WHAT	characteristic NOUN	cannot VERB	be PART	accurately AUX	represented ADV	by VERB	the ADP	models DET,D3
WHICH	of ADP	the DET	following VERB	best ADJ	explains VERB	HOW	stems VERB	transport NOUN	water NOUN	to ADP	other ADJ	parts NOUN	of ADP	the DET	plant NOUN,B2
WHICH	statement NOUN	describes VERB	HOW	muscles NOUN	work VERB	to PART	allow VERB	a DET	person NOUN	to PART	extend VERB	an DET	arm NOUN	from ADP	a DET	curled ADJ	position NOUN	by ADP	straightening VERB	the DET	elbow NOUN,C1
HOW	do AUX	moose VERB	use VERB	a DET	learned VERB	behavior NOUN	to PART	protect VERB	themselves PRON,D3
WHICH	best ADJ	determines VERB	the DET	number NOUN	of ADP	wolves NOUN	that DET	can VERB	live VERB	in ADP	an DET	area NOUN,A3
WHICH	of ADP	these DET	activities NOUN	is AUX	used VERB	to PART	conserve VERB	water NOUN,D3
Skyler PROPN	is AUX	selecting VERB	the DET	kind NOUN	of ADP	paper NOUN	he PRON	wants VERB	to PART	use VERB	to PART	make VERB	a DET	greeting NOUN	card NOUN	He PRON	wants VERB	to PART	select VERB	paper NOUN	that DET	does AUX	not PART	tear VERB	easily ADV	WHICH	of ADP	the DET	following VERB	features NOUN	of ADP	the DET	paper NOUN	is AUX	most ADV	important ADJ	for ADP	Skyler PROPN	to PART	consider VERB,A5
Students NOUN	dropped VERB	different ADJ	rocks NOUN	into ADP	sand NOUN	to PART	simulate VERB	meteorite PROPN	impacts VERB	Their DET	goal NOUN	was AUX	to PART	determine VERB	WHICH	rock NOUN	made VERB	the DET	deepest ADJ	crater NOUN	WHICH	variable NOUN	should VERB	the DET	students NOUN	control VERB	in ADP	order NOUN	to PART	have AUX	the DET	most ADV	accurate ADJ	results NOUN,A2
WHICH	of ADP	the DET	following VERB	best ADJ	describes VERB	the DET	purpose NOUN	of ADP	the DET	chromosomes NOUN	in ADP	the DET	nucleus NOUN	of ADP	a DET	cell NOUN,C1
A DET	student NOUN	is AUX	trying VERB	to PART	identify VERB	a DET	mineral NOUN	that DET	has AUX	a DET	nonmetallic ADJ	luster NOUN	and CCONJ	is AUX	black ADJ	It PRON	can VERB	also ADV	be AUX	scratched VERB	with ADP	a DET	fingernail NOUN	According VERB	to ADP	the DET	mineral NOUN	reference NOUN	sheet NOUN	the DET	unidentified ADJ	mineral NOUN	is AUX	most ADV	likely ADJ,B1
The DET	chemical NOUN	symbol NOUN	for ADP	niobium NOUN	is AUX	Nb PROPN	Based VERB	on ADP	its DET	symbol NOUN	WHAT	can VERB	be AUX	concluded VERB	about ADP	niobium NOUN,C5
WHEN	potholders NOUN	are AUX	used VERB	to PART	remove VERB	hot ADJ	pans NOUN	from ADP	an DET	oven NOUN	the DET	potholders NOUN	are AUX	serving VERB	as SCONJ,D3
Some DET	health NOUN	care NOUN	professionals NOUN	recommend VERB	that SCONJ	children NOUN	use VERB	insect ADJ	repellent NOUN	before ADP	going VERB	outside ADV	Using VERB	insect ADJ	repellent NOUN	is AUX	a DET	good ADJ	way NOUN	to PART	keep VERB	the DET	insects NOUN	from ADP,D3
A DET	telescope NOUN	would VERB	be AUX	used VERB	for ADP	all DET	the DET	following NOUN	except SCONJ,D3
Use VERB	the DET	information NOUN	below ADV	to PART	answer VERB	the DET	question NOUN	Each DET	organism NOUN	on ADP	Earth PROPN	is AUX	a DET	part NOUN	of ADP	a DET	complex ADJ	relationship NOUN	with ADP	other ADJ	organisms NOUN	This DET	relationship NOUN	is AUX	called VERB	a DET	food NOUN	web NOUN	The DET	following ADJ	organisms NOUN	are AUX	part NOUN	of ADP	a DET	food NOUN	web NOUN	typically ADV	located VERB	in ADP	and CCONJ	around ADP	a DET	reservoir NOUN	algae NOUN	fish NOUN	rabbit NOUN	eagle PROPN	pine PROPN	tree PROPN	grass PROPN	field NOUN	mouse NOUN	WHICH	member NOUN	of ADP	the DET	food NOUN	web NOUN	is AUX	a DET	carnivore NOUN,D3
WHICH	statement NOUN	best ADV	describes VERB	the DET	theory NOUN	of ADP	natural ADJ	selection NOUN,C1
A DET	student NOUN	used VERB	the DET	dimmest ADJ	setting NOUN	on ADP	a DET	light ADJ	microscope NOUN	to PART	observe VERB	a DET	euglena PROPN	and CCONJ	an DET	amoeba NOUN	The DET	student NOUN	shined VERB	a DET	narrow ADJ	beam NOUN	of ADP	light NOUN	at ADP	the DET	top NOUN	of ADP	the DET	cover NOUN	slip NOUN	She PRON	observed VERB	that SCONJ	the DET	euglena PROPN	swam PROPN	up ADP	toward ADP	the DET	light NOUN	but CCONJ	the DET	amoeba NOUN	did AUX	not PART	She PRON	knew VERB	the DET	amoeba NOUN	was AUX	alive ADJ	because SCONJ	it PRON	slowly ADV	changed VERB	shape NOUN	while SCONJ	she PRON	watched VERB	WHAT	inference NOUN	should VERB	the DET	student NOUN	draw VERB	from ADP	her DET	observation NOUN,D3
WHICH	of ADP	the DET	following VERB	statements NOUN	best ADV	explains VERB	WHY	it PRON	is AUX	warmer ADJ	at ADP	the DET	equator NOUN	than SCONJ	at ADP	the DET	North PROPN	Pole PROPN,B2
WHICH	statement NOUN	best ADV	describes VERB	a DET	liquid ADJ	sample NOUN,C1
WHICH	phrase NOUN	best ADJ	describes VERB	the DET	mass NOUN	of ADP	an DET	object NOUN,C1
A DET	student NOUN	uses VERB	a DET	pH PROPN	meter NOUN	to PART	measure VERB	the DET	acidity NOUN	of ADP	a DET	water NOUN	sample NOUN	from ADP	a DET	lake NOUN	For ADP	WHAT	purpose NOUN	is AUX	the DET	student NOUN	most ADV	likely ADV	testing VERB	the DET	water NOUN,D3
Dr PROPN	Tanaka PROPN	discovered VERB	a DET	new ADJ	virus NOUN	The DET	virus NOUN	has AUX	a DET	single ADJ	strand NOUN	of ADP	a DET	nucleic ADJ	acid NOUN	but CCONJ	she PRON	does AUX	not PART	know VERB	if SCONJ	it PRON	is AUX	DNA NOUN	or CCONJ	RNA PROPN	After ADP	running VERB	tests NOUN	she PRON	concludes VERB	that SCONJ	it PRON	is AUX	DNA PROPN	WHICH	of ADP	the DET	following VERB	would VERB	lead VERB	her PRON	to ADP	that DET	conclusion NOUN,C5
