text,label
WHICH ADP DET VERB NOUN ADV VERB WHY NOUN ADV VERB ADP DET NOUN NOUN,B2
WHICH NOUN ADJ VERB ADV PUNCT ADJ CCONJ,B3
NOUN AUX ADV VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN VERB ADV AUX VERB ADP ADJ ADJ NOUN WHICH ADP DET AUX ADV ADJ ADP VERB NOUN,A4
WHICH ADJ NOUN VERB ADV AUX DET ADJ NOUN,A1
NOUN ADV ADV VERB DET NOUN ADP WHICH PRON AUX VERB ADP,B1
ADP VERB NOUN ADJ NOUN AUX VERB PART VERB ADP ADJ NOUN WHICH ADP DET VERB ADV VERB DET ADJ NOUN VERB ADP VERB ADJ NOUN,C1
WHICH NOUN ADV VERB DET NOUN NOUN ADP DET NOUN DET VERB DET NOUN NOUN ADP AUX DET NOUN,C1
NOUN AUX ADV AUX VERB ADP DET PROPN PROPN PART VERB NOUN ADP NOUN ADP NOUN NOUN HOW VERB DET NOUN ADP NOUN ADV VERB DET NOUN,D3
WHICH NOUN ADP DET NOUN VERB AUX VERB ADV ADP VERB ADP PRON,A3
WHAT AUX NOUN VERB NOUN ADP DET NOUN ADP DET NOUN,C1
WHICH NOUN VERB DET ADJ NOUN ADP VERB NOUN ADP NOUN,C1
NOUN VERB NOUN VERB DET NOUN VERB VERB NOUN NOUN VERB ADP VERB NOUN ADP ADJ NOUN VERB ADP DET NOUN DET NOUN AUX ADJ CCONJ VERB WHAT VERB AUX VERB ADP VERB NOUN,D3
ADJ ADJ NOUN NOUN VERB DET ADJ NOUN ADP VERB DET ADJ NOUN VERB ADP ADJ NOUN ADP NOUN DET NOUN VERB DET NOUN ADP DET NOUN CCONJ VERB ADP NOUN PART VERB VERB NOUN NOUN VERB DET NOUN VERB ADP DET,D3
DET VERB ADJ NOUN VERB NUM ADJ NOUN ADP DET NOUN NOUN PART AUX VERB ADP DET NOUN NOUN WHICH PRON AUX ADJ ADP NOUN ADP NUM,D3
WHY AUX ADJ NOUN AUX VERB ADP DET NOUN,D3
ADJ NOUN VERB NOUN PART AUX VERB CCONJ PART VERB NOUN CCONJ NOUN NOUN WHAT NOUN VERB NOUN NOUN AUX ADP DET NOUN,D4
NOUN ADV VERB ADJ NOUN ADP VERB DET ADJ NOUN ADP NOUN DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP NOUN NOUN CCONJ VERB DET ADJ NOUN VERB WHAT NUM NOUN,D3
WHICH NOUN AUX PART VERB ADJ NOUN ADP NOUN,C1
NOUN ADP DET NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN CCONJ ADV VERB DET NOUN PART VERB HOW PRON VERB VERB DET NOUN WHICH AUX DET NOUN ADP DET NOUN,B3
WHICH ADJ VERB NUM NOUN NOUN VERB ADV PART VERB VERB NOUN,C1
