text,label,
DET NOUN VERB PART VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN ADJ NOUN ADP NOUN NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN DET NOUN AUX VERB DET ADJ NOUN ADP NOUN WHAT AUX DET ADJ NOUN ADP DET NOUN,EASY
WHAT VERB VERB DET ADJ NOUN VERB VERB ADP ADJ NOUN,EASY
WHAT ADJ VERB DET ADJ NOUN ADP DET NOUN,DIFFICULT
HOW AUX DET PROPN PROPN NOUN VERB ADP DET NUM PROPN PROPN NOUN,DIFFICULT
WHAT NOUN ADP NOUN AUX VERB ADP PROPN,EASY
AUX DET NOUN PART VERB DET NOUN PUNCT ADJ,DIFFICULT
WHAT NOUN ADP NOUN VERB ADV DET PROPN NOUN,DIFFICULT
WHAT NOUN ADP DET NOUN AUX PROPN PROPN AUX VERB ADV VERB ADP DET ADJ PROPN,DIFFICULT
WHY AUX NOUN VERB PART VERB DET NOUN ADP DET NOUN,EASY
DET NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADP DET ADJ NOUN VERB AUX VERB ADP VERB DET NOUN ADP NOUN SYM NOUN NOUN NOUN WHICH NOUN VERB AUX DET ADJ NOUN,EASY
WHAT NOUN ADP NOUN AUX DET PROPN PROPN ADV VERB ADP,DIFFICULT
HOW VERB PRON VERB DET NOUN DET AUX ADJ NOUN,DIFFICULT
WHICH NOUN AUX VERB SCONJ DET NOUN CCONJ NOUN NOUN ADP NUM,DIFFICULT
NOUN VERB SCONJ WHAT AUX ADJ,DIFFICULT
WHICH NOUN VERB DET VERB PUNCT CCONJ PUNCT VERB NOUN PART,DIFFICULT
HOW ADJ VERB NOUN AUX ADJ ADP DET ADJ NOUN,EASY
WHAT AUX VERB ADP NUM PART VERB WHERE NOUN VERB ADP,EASY
WHAT AUX NOUN VERB PART VERB WHEN VERB ADP DET NOUN NOUN,EASY
HOW VERB PRON VERB DET NOUN ADP DET NOUN DET VERB ADV ADJ ADJ NOUN,DIFFICULT
DET VERB DET ADJ NOUN PART VERB DET NOUN,EASY
WHICH NOUN AUX VERB ADP DET PROPN PROPN CCONJ ADJ NOUN,DIFFICULT
HOW AUX PROPN PROPN VERB DET ADJ NOUN,DIFFICULT
WHO VERB SCONJ PROPN PROPN VERB NOUN PART ADJ ADP NOUN CCONJ NOUN,DIFFICULT
WHAT AUX DET NOUN ADP DET ADJ NOUN NOUN VERB ADP ADJ ADJ CCONJ ADJ NOUN,DIFFICULT
WHAT NOUN AUX PROPN PROPN VERB SCONJ NUM ADP DET ADV ADJ NOUN ADP PROPN,EASY
WHAT NOUN AUX DET NUM NOUN NOUN VERB ADP,DIFFICULT
WHICH ADJ VERB HOW DET PROPN PROPN VERB,DIFFICULT
WHAT NOUN NOUN VERB DET PROPN PART PROPN ADP PROPN,DIFFICULT
WHAT NOUN AUX PROPN VERB PART VERB DET NOUN PART,DIFFICULT
WHAT NOUN NOUN AUX VERB ADP DET ADJ NOUN,DIFFICULT
NOUN VERB DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP WHAT,DIFFICULT
WHICH NOUN VERB DET NOUN ADP CCONJ ADJ CCONJ ADJ NOUN,DIFFICULT
WHAT NOUN ADP NOUN AUX ADV VERB PART VERB NOUN ADP PROPN,DIFFICULT
WHAT NUM NOUN AUX VERB ADP DET ADJ NOUN,DIFFICULT
WHICH ADV VERB DET NOUN ADP DET NOUN ADP NOUN,DIFFICULT
WHAT NOUN AUX AUX VERB PART VERB ADP DET NOUN ADP DET NOUN SCONJ DET NUM,DIFFICULT
WHAT NOUN ADP NOUN NOUN VERB PRON PART AUX VERB ADP NOUN,DIFFICULT
WHERE AUX DET PROPN PROPN PROPN ADP PROPN VERB ADP DET NUM PROPN PROPN CCONJ PROPN PROPN PROPN PART ADJ PROPN,DIFFICULT
WHAT AUX ADJ NOUN VERB PART VERB NOUN,DIFFICULT
DET NOUN CCONJ ADJ NOUN ADP DET PROPN PROPN ADP PROPN CCONJ PROPN PROPN AUX DET NOUN ADP VERB WHAT NOUN ADP DET NOUN SCONJ PRON VERB ADP PROPN PROPN PART VERB,EASY
WHAT NOUN AUX VERB PART VERB ADJ NOUN ADP DET ADJ NOUN,DIFFICULT
WHAT AUX VERB PART VERB HOW NOUN VERB NOUN NOUN,DIFFICULT
WHAT AUX DET NOUN ADP DET NOUN DET VERB PROPN PART,DIFFICULT
HOW AUX NOUN ADV VERB WHEN VERB ADV,DIFFICULT
ADP DET NOUN DET NOUN VERB PROPN PROPN PROPN VERB ADP VERB NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN PROPN VERB NOUN CCONJ NOUN NOUN WHICH NOUN ADP NOUN VERB ADV ADP DET NOUN,EASY
PROPN VERB WHAT NOUN ADV,DIFFICULT
PROPN ADJ VERB SCONJ NOUN VERB ADJ NOUN VERB ADV VERB ADP ADJ NOUN CCONJ WHAT ADJ NOUN,EASY
WHAT NOUN AUX VERB ADP NOUN PART VERB PRON ADP VERB ADV ADJ,DIFFICULT
NOUN ADP DET NOUN VERB ADP ADJ VERB NOUN NOUN VERB WHEN,DIFFICULT
WHAT NOUN AUX VERB ADV PART VERB DET NOUN NOUN,DIFFICULT
WHO VERB DET NOUN ADV ADP VERB PRON ADP ADJ NOUN,DIFFICULT
WHAT NOUN ADP NOUN AUX VERB PART VERB CCONJ VERB NOUN ADP ADJ NOUN NOUN,DIFFICULT
WHAT NOUN NOUN AUX VERB ADP DET PROPN NOUN,DIFFICULT
WHO VERB PRON SCONJ DET PROPN AUX NOUN CCONJ NOUN ADP DET NOUN,DIFFICULT
AUX PRON VERB NOUN VERB ADP DET NOUN,DIFFICULT
WHAT AUX VERB WHERE DET ADJ NOUN NOUN ADP PROPN PROPN ADV VERB,EASY
DET NOUN ADP DET PROPN PROPN AUX VERB WHAT ADP PROPN PROPN,EASY
WHO VERB DET NOUN PROPN,EASY
WHO VERB ADJ NOUN ADP NOUN ADP PROPN PROPN PROPN,DIFFICULT
WHAT AUX DET ADJ VERB ADV ADP NOUN CCONJ NOUN PART VERB DET NOUN,DIFFICULT
WHAT AUX PROPN VERB NOUN ADP,DIFFICULT
WHAT NOUN NOUN AUX VERB PART VERB ADJ NOUN,DIFFICULT
NOUN VERB ADJ NOUN PART VERB NOUN ADV WHICH NOUN ADP NOUN VERB DET NOUN PART VERB ADP DET ADJ NOUN,DIFFICULT
WHICH NUM NOUN AUX VERB ADV PART VERB NOUN NOUN,DIFFICULT
HOW VERB NOUN VERB NOUN,DIFFICULT
WHAT ADJ NOUN AUX PROPN VERB AUX VERB ADP NOUN,DIFFICULT
WHAT NUM NOUN AUX VERB ADP VERB DET NOUN PART NOUN ADP DET,DIFFICULT
HOW ADV ADP DET NOUN AUX AUX VERB PROPN DET PROPN CCONJ PROPN VERB NOUN NOUN AUX VERB ADP NOUN,DIFFICULT
PROPN AUX VERB NOUN ADP NOUN SCONJ DET NOUN CCONJ PROPN WHICH AUX DET NOUN ADP ADJ NOUN,EASY
WHAT VERB AUX VERB ADP VERB DET NOUN ADP DET ADJ PUNCT NOUN NOUN CCONJ DET ADJ NOUN,EASY
WHAT AUX DET ADJ NOUN VERB PART VERB,DIFFICULT
WHAT NOUN AUX VERB ADP NOUN PART VERB ADP DET ADJ DET NOUN PROPN NOUN CCONJ NOUN ADP DET NOUN ADP NOUN,DIFFICULT
HOW AUX DET NUM PROPN PROPN PROPN VERB ADP NOUN DET VERB PUNCT ADV,DIFFICULT
WHAT AUX NUM NOUN VERB ADP NOUN NOUN VERB ADP NOUN NOUN,DIFFICULT
WHAT NOUN VERB VERB VERB NOUN PART VERB DET NOUN PROPN,DIFFICULT
WHO VERB VERB NOUN ADP PROPN,DIFFICULT
WHAT AUX DET ADJ NOUN ADP NOUN PART VERB NOUN ADP NOUN,EASY
