text,label
VERB NUM NOUN NOUN DET VERB VERB ADP NOUN NOUN ADP ADJ PROPN,EASY
VERB NOUN ADP DET NOUN VERB ADP DET NOUN VERB ADP WHAT NOUN,DIFFICULT
VERB DET ADJ PUNCT ADJ NOUN ADP DET NOUN VERB ADP DET NOUN WHAT ADP,DIFFICULT
VERB ADP PROPN WHAT PRON AUX ADV,DIFFICULT
VERB NOUN NOUN AUX PART VERB DET NOUN ADP WHICH NOUN,DIFFICULT
VERB NUM NOUN DET PROPN PROPN AUX ADV VERB SCONJ,EASY
VERB NUM NOUN ADP NOUN DET NOUN ADP PROPN AUX WHEN ADP DET NOUN ADP DET PROPN PROPN PROPN,EASY
NOUN NUM NOUN WHY DET PROPN PROPN VERB ADP PROPN PROPN,EASY
VERB DET ADJ NOUN,EASY
VERB DET ADJ NOUN,EASY
VERB DET ADP DET NOUN ADP DET PROPN ADP NOUN ADP NOUN ADP DET NUM,EASY
VERB DET ADP DET NOUN NOUN ADP DET PROPN ADP NOUN ADP NOUN ADP DET NUM,EASY
VERB ADJ NOUN ADV ADP ADJ ADJ NOUN VERB ADP PRON,DIFFICULT
VERB NUM ADJ ADJ NOUN,EASY
VERB DET NOUN ADP DET NOUN ADP PROPN PROPN,EASY
NOUN NUM NOUN DET PROPN PROPN PROPN VERB ADP ADP DET NOUN CCONJ NOUN,EASY
VERB NUM ADP DET ADJ NOUN PART ADV AUX DET PROPN PROPN NOUN,EASY
VERB DET NOUN VERB ADP PROPN PROPN,EASY
VERB ADJ NOUN PUNCT PRON ADV VERB AUX VERB ADP DET PROPN ADP,DIFFICULT
VERB DET NOUN DET VERB ADJ NOUN ADP ADP NOUN,EASY
VERB NUM NOUN NOUN DET AUX VERB ADP PROPN,EASY
NOUN NUM ADJ NOUN ADP PROPN,EASY
NOUN ADP VERB NOUN AUX VERB ADP PRON,DIFFICULT
VERB WHAT PART VERB DET NOUN ADP DET NOUN VERB VERB DET NOUN ADP ADV VERB DET NOUN ADP ADP DET NOUN PART ADJ NOUN,DIFFICULT
VERB ADP DET NOUN ADP NOUN NOUN ADP NOUN PUNCT WHAT DET NOUN AUX ADJ NOUN,DIFFICULT
VERB NOUN NOUN ADP ADJ NOUN AUX VERB ADV ADV ADP PRON,DIFFICULT
VERB DET NOUN CCONJ DET ADJ NOUN ADP NOUN ADP DET NOUN WHICH DET VERB AUX DET ADJ NOUN ADP,DIFFICULT
VERB PART NOUN CCONJ VERB WHAT DET NOUN VERB AUX VERB ADP DET ADJ NOUN,DIFFICULT
VERB NUM NOUN ADP ADJ NOUN,EASY
VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN,EASY
VERB NOUN ADV ADP DET ADJ NOUN NOUN NOUN VERB WHICH NOUN ADP VERB ADV ADJ,DIFFICULT
VERB DET NOUN DET VERB NOUN DET ADJ NOUN PART VERB ADP ADJ NOUN,EASY
VERB DET NOUN DET NOUN PUNCT NOUN CCONJ NOUN AUX ADP,EASY
VERB DET NOUN DET VERB VERB VERB NOUN,EASY
VERB DET NOUN DET AUX VERB ADV ADV SCONJ NOUN,EASY
VERB DET NOUN ADP NOUN PUNCT NOUN VERB VERB CCONJ VERB NOUN,DIFFICULT
VERB NOUN SCONJ DET ADJ CCONJ PART DET ADJ ADJ NOUN AUX DET NOUN ADP PRON,DIFFICULT
VERB DET ADJ NOUN ADP NOUN VERB VERB NOUN ADP PRON,DIFFICULT
VERB NUM ADP DET NOUN DET PROPN PROPN VERB ADV,EASY
VERB DET NOUN DET VERB NOUN PART VERB ADJ NOUN DET AUX VERB ADP DET ADJ NOUN ADP DET ADJ NOUN,EASY
NOUN ADP NOUN CCONJ NOUN AUX VERB ADP WHAT NOUN,DIFFICULT
VERB DET NUM NOUN ADJ ADP PROPN ADP DET PROPN ADP PROPN,EASY
ADJ NOUN NOUN ADP DET NOUN ADP WHAT NOUN ADP NOUN,DIFFICULT
VERB ADP DET PROPN PROPN WHAT PRON AUX DET ADJ NOUN ADP ADJ NOUN VERB,EASY
VERB ADP DET PROPN PROPN WHAT PRON AUX DET ADJ NOUN ADP ADJ NOUN VERB,EASY
NOUN CCONJ NOUN NOUN AUX PART VERB DET PROPN NOUN ADP WHAT NOUN ADP PROPN,DIFFICULT
NOUN NOUN ADP ADJ ADJ NOUN DET NOUN AUX ADP DET NOUN,EASY
VERB NOUN NOUN SCONJ NOUN AUX ADV VERB PRON,DIFFICULT
VERB WHAT ADP NOUN AUX ADV AUX ADJ,DIFFICULT
NOUN ADP ADJ NOUN AUX VERB ADP WHAT NOUN NOUN,DIFFICULT
VERB DET NOUN DET AUX VERB ADP DET ADJ NOUN ADP DET PROPN CCONJ PROPN PROPN PROPN PROPN,EASY
VERB DET ADJ NOUN NOUN DET AUX NUM PART NUM NOUN NOUN,EASY
VERB VERB CCONJ VERB NOUN AUX VERB PRON,DIFFICULT
VERB DET ADJ NOUN ADP VERB NOUN,EASY
VERB ADP ADJ NOUN ADP PROPN PROPN HOW ADV ADV AUX PROPN PROPN VERB ADJ NOUN,DIFFICULT
VERB ADP ADJ NOUN ADP PROPN PUNCT PROPN PROPN PART,DIFFICULT
VERB DET ADJ ADJ NOUN WHO VERB ADP NUM,EASY
VERB DET ADJ NOUN ADP PROPN PROPN,EASY
VERB DET NOUN DET VERB DET ADJ PROPN,EASY
VERB DET ADJ NOUN ADP NOUN ADP DET NOUN,EASY
VERB DET ADJ NOUN DET VERB ADP ADJ ADJ NOUN,EASY
VERB DET ADJ ADJ NOUN ADP PROPN PROPN,EASY
VERB DET ADV ADJ ADJ NOUN ADP PROPN,EASY
VERB NUM NOUN HOW ADV AUX PROPN VERB SCONJ DET NOUN VERB DET ADV ADJ NOUN ADP NOUN,DIFFICULT
VERB DET PROPN PROPN ADP PROPN,EASY
VERB DET NOUN ADP PROPN,EASY
VERB DET NOUN ADP DET NOUN DET VERB NOUN PART VERB CCONJ VERB NOUN ADP PRON AUX,EASY
VERB PART VERB ADJ NOUN NOUN CCONJ NOUN AUX VERB PRON,DIFFICULT
PROPN PROPN PART PROPN NOUN NOUN ADP,EASY
