text,label
Name VERB	four NUM	sound NOUN	profiles NOUN	that DET	would VERB	result VERB	in ADP	bass NOUN	distortion NOUN	on ADP	pre-2007 ADJ	iPods PROPN,EASY
Using VERB	items NOUN	in ADP	the DET	game NOUN	took VERB	over ADP	the DET	controls NOUN	used VERB	for ADP	WHAT	weapon NOUN,DIFFICULT
Using VERB	a DET	left-handed ADJ	swing PUNCT	in ADJ	the NOUN	game ADP	took DET	over NOUN	the VERB	controls ADP	used DET	for NOUN	WHAT	weapon ADP,DIFFICULT
Translated VERB	into ADP	English PROPN	WHAT	does PRON	pratītyasamutpāda AUX	mean ADV,DIFFICULT
Using VERB	royal NOUN	prerogative NOUN	does AUX	not PART	require VERB	the DET	consent NOUN	of ADP	WHICH	body NOUN,DIFFICULT
Name VERB	one NUM	name NOUN	the DET	Batvian PROPN	Republic PROPN	is AUX	also ADV	known VERB	as SCONJ,EASY
Name VERB	one NUM	type NOUN	of ADP	government NOUN	the DET	county NOUN	of ADP	Flanders PROPN	had AUX	WHEN	under ADP	the DET	rule NOUN	of ADP	the DET	Holy PROPN	Roman PROPN	Empire PROPN,EASY
Name NOUN	two NUM	reasons NOUN	WHY	the DET	Low PROPN	Countries PROPN	turned VERB	against ADP	Philip PROPN	II PROPN,EASY
Name VERB	a DET	parasitic ADJ	ectosymbiont NOUN,EASY
Name VERB	a DET	biotrophic ADJ	organism NOUN,EASY
Name VERB	some DET	of ADP	the DET	jobs NOUN	in ADP	the DET	CAF PROPN	off ADP	limits NOUN	to ADP	women NOUN	in ADP	the DET	1980s NUM,EASY
Name VERB	some DET	of ADP	the DET	teaching NOUN	opportunities NOUN	in ADP	the DET	CAF PROPN	off ADP	limits NOUN	to ADP	women NOUN	in ADP	the DET	1980s NUM,EASY
Using VERB	natural ADJ	illumination NOUN	instead ADV	of ADP	artificial ADJ	light ADJ	sources NOUN	help VERB	with ADP	WHAT,DIFFICULT
Name VERB	one NUM	Asian ADJ	architectural ADJ	writer NOUN,EASY
Name VERB	the DET	title NOUN	of ADP	the DET	work NOUN	by ADP	Jayaraashi PROPN	Bhatta PROPN,EASY
Name NOUN	3 NUM	artists NOUN	that DET	CBS PROPN	Associated PROPN	Records PROPN	signed VERB	on ADP	in ADP	the DET	80s NOUN	and CCONJ	90s NOUN,EASY
Name VERB	one NUM	of ADP	the DET	final ADJ	albums NOUN	to PART	ever ADV	have AUX	the DET	Sony PROPN	BMG PROPN	label NOUN,EASY
Name VERB	a DET	hospital NOUN	owned VERB	by ADP	INTEGRIS PROPN	Health PROPN,EASY
Using VERB	advanced ADJ	boats NOUN	they PUNCT	also PRON	could ADV	have VERB	migrated AUX	down VERB	the ADP	Pacific DET	to PROPN	WHERE,DIFFICULT
Name VERB	a DET	process NOUN	that DET	uses VERB	fossil ADJ	fuels NOUN	along ADP	with ADP	hydrogen NOUN,EASY
Name VERB	two NUM	dance NOUN	groups NOUN	that DET	are AUX	based VERB	in ADP	Nanjing: PROPN,EASY
List NOUN	three NUM	natural ADJ	attractions NOUN	of ADP	Nanjing PROPN,EASY
Interpretations NOUN	of ADP	written VERB	score NOUN	is AUX	left VERB	to ADP	WHOM,DIFFICULT
Using VERB	WHAT	to PART	determine VERB	the DET	seriousness NOUN	of ADP	a DET	breach NOUN	can VERB	prevent VERB	a DET	party NOUN	from ADP	prematurely ADV	suspending VERB	its DET	obligations NOUN	due ADP	to ADP	another DET	party's NOUN	alleged PART	material ADJ	breach NOUN,DIFFICULT
Compared VERB	to ADP	the DET	rates NOUN	of ADP	cell NOUN	division NOUN	in ADP	eukaryotes NOUN	with PUNCT	WHAT	speed DET	does NOUN	binary AUX	fission ADJ	occur NOUN,DIFFICULT
Comparing VERB	brain NOUN	sizes NOUN	among ADP	different ADJ	creatures NOUN	is AUX	used VERB	most ADV	commonly ADV	by ADP	WHAT,DIFFICULT
Comparing VERB	a DET	heavy NOUN	and CCONJ	a DET	lightweight ADJ	piece NOUN	of ADP	wood NOUN	from ADP	a DET	pine NOUN	WHICH	would DET	have VERB	a AUX	greater DET	proportion ADJ	of NOUN	latewood ADP,DIFFICULT
Compared VERB	to PART	hickory NOUN	and CCONJ	ash VERB	WHAT	adjective DET	might NOUN	be VERB	used AUX	for VERB	a ADP	maple DET	baseball ADJ	bat NOUN,DIFFICULT
Name VERB	three NUM	types NOUN	of ADP	immunological ADJ	disorders NOUN,EASY
Name VERB	the DET	other ADJ	type NOUN	of ADP	adaptive ADJ	immune ADJ	system NOUN	component NOUN,EASY
Using VERB	VBR NOUN	instead ADV	of ADP	a DET	constant ADJ	bit NOUN	rate NOUN	encoding NOUN	makes VERB	WHICH	part NOUN	of ADP	encoding VERB	less ADV	predictable ADJ,DIFFICULT
Name VERB	a DET	property NOUN	that DET	makes VERB	copper NOUN	a DET	good ADJ	material NOUN	to PART	use VERB	in ADP	marine ADJ	environments NOUN,EASY
Name VERB	a DET	property NOUN	that DET	copper NOUN	silver PUNCT	and NOUN	gold CCONJ	have NOUN	in AUX	common ADP,EASY
Name VERB	a DET	compond NOUN	that DET	can VERB	mobilize VERB	sold VERB	copper NOUN,EASY
Name VERB	a DET	metal NOUN	that DET	is AUX	recycled VERB	more ADV	often ADV	than SCONJ	copper NOUN,EASY
Using VERB	the DET	media NOUN	to ADP	water NOUN	people PUNCT	can NOUN	change VERB	and VERB	shape CCONJ	communication VERB	WHERE,DIFFICULT
Describing VERB	communication NOUN	as SCONJ	a DET	creative ADJ	but CCONJ	not PART	a DET	dynamic ADJ	continuous ADJ	process NOUN	is AUX	the DET	definition NOUN	of ADP	WHAT,DIFFICULT
Using VERB	the DET	same ADJ	media NOUN	for ADP	communication NOUN	will VERB	offer VERB	possibilities NOUN	for ADP	WHAT,DIFFICULT
Name VERB	one NUM	of ADP	the DET	states NOUN	the DET	Mississippi PROPN	River PROPN	flows VERB	through ADV,EASY
Name VERB	the DET	devices NOUN	that DET	use VERB	IrDA NOUN	to PART	emit VERB	infrared ADJ	radiation NOUN	that DET	is AUX	focused VERB	by ADP	a DET	plastic ADJ	lens NOUN	into ADP	a DET	narrow ADJ	beam NOUN,EASY
Deductions NOUN	in ADP	execution NOUN	and CCONJ	artistry NOUN	are AUX	taken VERB	from ADP	WHAT	score NOUN,DIFFICULT
Name VERB	the DET	two NUM	women NOUN	present ADJ	with ADP	Mary PROPN	at ADP	the DET	Crucifixion PROPN	of ADP	Jesus PROPN,EASY
Deductive ADJ	reasoning NOUN	leads NOUN	to ADP	the DET	development NOUN	of ADP	WHAT	type NOUN	of ADP	thinking NOUN,DIFFICULT
Located VERB	in ADP	the DET	McMurray PROPN	Formation PROPN	WHAT	is PRON	the AUX	smallest DET	deposit ADJ	of NOUN	natural ADP	bitumen ADJ	known NOUN	as VERB,EASY
Located VERB	in ADP	the DET	Peace PROPN	River PROPN	WHAT	is PRON	the AUX	largest DET	deposit ADJ	of NOUN	natural ADP	bitumen ADJ	known NOUN	as VERB,EASY
Judges NOUN	and CCONJ	police NOUN	officers NOUN	had AUX	to PART	disclose VERB	their DET	Freemason PROPN	membership NOUN	in ADP	WHAT	years NOUN	in ADP	England PROPN,DIFFICULT
Name NOUN	examples NOUN	of ADP	usual ADJ	formal ADJ	business NOUN	that DET	Freemasons NOUN	have AUX	at ADP	their DET	lodge NOUN,EASY
Using VERB	animal NOUN	fur NOUN	as SCONJ	clothing NOUN	was AUX	once ADV	considered VERB	WHAT,DIFFICULT
Using VERB	WHAT	for ADP	clothing NOUN	has AUX	always ADV	been AUX	controversial ADJ,DIFFICULT
Examinations NOUN	for ADP	Tertiary ADJ	institutes NOUN	are AUX	given VERB	at ADP	WHAT	grade NOUN	level NOUN,DIFFICULT
Name VERB	the DET	wars NOUN	that DET	was AUX	caused VERB	by ADP	the DET	intense ADJ	competition NOUN	between ADP	the DET	EIC PROPN	and CCONJ	Dutch PROPN	East PROPN	India PROPN	Company PROPN,EASY
Name VERB	the DET	foreign ADJ	loan NOUN	words NOUN	that DET	have AUX	5 NUM	to PART	7 NUM	phonemic NOUN	tones NOUN,EASY
Using VERB	precomposed VERB	or CCONJ	combining VERB	characters NOUN	is AUX	called VERB	WHAT,DIFFICULT
Name VERB	a DET	popular ADJ	series NOUN	of ADP	boxing VERB	films NOUN,EASY
Compared VERB	to ADP	other ADJ	cities NOUN	in ADP	Latin PROPN	America PROPN	HOW	early ADV	did ADV	Mexico AUX	City PROPN	legalize PROPN	same VERB	sex ADJ	marriage NOUN,DIFFICULT
Compared VERB	to ADP	other ADJ	cities NOUN	in ADP	Mexico PROPN	Mexico PUNCT	City's PROPN	growth PROPN	is PART,DIFFICULT
Name VERB	an DET	Indonesian ADJ	Islamic ADJ	scholar NOUN	WHO	lived VERB	from ADP	1908-1981 NUM,EASY
